BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
5073,0,0.657534246575342,SA,77,8_13,1.4,1,20,82,3446,4873,1.56986301369863,0.898630136986301,3446,1848
4967,1,0.164383561643836,FL,77,7_30,0.44,1,22,77,1501,3489,7.84657534246575,1.64383561643836,1501,3489
4967,1,2.25479452054795,A,77,3_83,0.88,2,26.5,90,1501,3489,7.84657534246575,1.64383561643836,1501,3489
4968,0,0.164383561643836,FL,77,8_22,0.96,1,23,77,1503,1611,7.83835616438356,6.32602739726027,1503,507
5163,0,3.24383561643836,A,77,8_40,0.59,1,23,104,1536,1787,7.64931506849315,4.46849315068493,1536,1787
5163,0,0.657534246575342,SA,77,8_11,0.75,1,26.5,85,1536,1787,7.64931506849315,4.46849315068493,1536,1787
5071,1,1.72328767123288,A,77,3_62,0.58,2,3,90,1532,1804,7.69315068493151,3.74520547945205,1532,911
5071,1,1.73424657534247,A,77,3_62,0.68,2,3,90,1532,1804,7.69315068493151,3.74520547945205,1532,911
5071,1,0.284931506849315,OFL,77,6_14,0.38,1,3,82,1532,1804,7.69315068493151,3.74520547945205,1532,911
5071,1,0.164383561643836,FL,77,3_13,0.44,2,3,82,1532,1804,7.69315068493151,3.74520547945205,1532,911
4970,0,0.164383561643836,FL,77,8_23,1.19,1,30.1,77,3487,1543,3.45753424657534,7.59178082191781,3487,1543
4970,0,1.71506849315068,A,77,3_83,0.93,2,130,87,3487,1543,3.45753424657534,7.59178082191781,3487,1543
5072,1,1.78082191780822,A,77,3_83,0.95,2,23,90,2985,1752,3.4,4.62191780821918,1765,1752
5072,1,3.32876712328767,A,77,8_32,0.62,1,23,104,2985,1752,3.4,4.62191780821918,1765,1752
5072,1,5.13972602739726,A,77,8_30,0.68,1,23,116,2985,1752,3.4,4.62191780821918,1765,1752
5074,0,0.246575342465753,J,77,7_36,0.58,1,33,82,1765,3464,4.81369863013699,2.44383561643836,1765,1752
5072,1,0.246575342465753,J,77,8_19,0.92,1,33,82,2985,1752,3.4,4.62191780821918,1765,1752
5074,0,0.745205479452055,J,77,3_66,0.83,2,33,85,1765,3464,4.81369863013699,2.44383561643836,1765,1752
5074,0,1.24383561643836,SA,77,7_44,0.58,1,-2,87,1765,3464,4.81369863013699,2.44383561643836,1765,1752
4973,0,7.58904109589041,A,77,8_40,1,1,32.5,125,2968,1553,3.1013698630137,7.1041095890411,459,1769
4973,0,0.164383561643836,FL,77,8_18,1.43,1,39,77,2968,1553,3.1013698630137,7.1041095890411,459,1769
4974,0,0.164383561643836,FL,77,8_18,0.54,1,39,77,2968,1769,3.1013698630137,3.71506849315068,459,1769
5076,1,0.246575342465753,J,77,9_31,0.92,1,39,82,1800,1769,4.66027397260274,4.11780821917808,459,1769
5076,1,1.2958904109589,SA,77,8_11,1,1,112,87,1800,1769,4.66027397260274,4.11780821917808,459,1769
4999,0,6.58356164383562,A,77,8_27,1.15,1,32,122,1757,1523,5.35342465753425,7.62465753424657,1757,1523
